"package","installs_display","skills_sh_url","queries","install_command","repository_metadata_checked","status"
"op7418/humanizer-zh@humanizer-zh","47.2K","https://skills.sh/op7418/humanizer-zh/humanizer-zh","humanizer; humanize","npx skills add op7418/humanizer-zh@humanizer-zh","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"github/awesome-copilot@finnish-humanizer","9.2K","https://skills.sh/github/awesome-copilot/finnish-humanizer","humanizer; humanize","npx skills add github/awesome-copilot@finnish-humanizer","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"blader/humanizer@humanizer","5.8K","https://skills.sh/blader/humanizer/humanizer","humanizer; humanize","npx skills add blader/humanizer@humanizer","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"humanizerai/agent-skills@humanize","3.8K","https://skills.sh/humanizerai/agent-skills/humanize","humanizer; humanize","npx skills add humanizerai/agent-skills@humanize","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"daleseo/korean-skills@humanizer","2.7K","https://skills.sh/daleseo/korean-skills/humanizer","humanizer; humanize","npx skills add daleseo/korean-skills@humanizer","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"huggingface/skills@hf-cli","2.6K","https://skills.sh/huggingface/skills/hf-cli","humanizer; humanize","npx skills add huggingface/skills@hf-cli","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"nomadamas/k-skill@korean-humanizer","2.2K","https://skills.sh/nomadamas/k-skill/korean-humanizer","humanizer; humanize","npx skills add nomadamas/k-skill@korean-humanizer","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"kevintsai1202/humanizer-zh-tw@humanizer-zh-tw","1.2K","https://skills.sh/kevintsai1202/humanizer-zh-tw/humanizer-zh-tw","humanizer; humanize","npx skills add kevintsai1202/humanizer-zh-tw@humanizer-zh-tw","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"ai-zixun/humanizer-zh@humanizer-zh","890","https://skills.sh/ai-zixun/humanizer-zh/humanizer-zh","humanizer; humanize; 去AI","npx skills add ai-zixun/humanizer-zh@humanizer-zh","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"bencium/bencium-marketplace@hungarian-humanizer","819","https://skills.sh/bencium/bencium-marketplace/hungarian-humanizer","humanizer; humanize","npx skills add bencium/bencium-marketplace@hungarian-humanizer","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"alirezarezvani/claude-skills@content-humanizer","804","https://skills.sh/alirezarezvani/claude-skills/content-humanizer","humanizer; humanize","npx skills add alirezarezvani/claude-skills@content-humanizer","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"z0gsh1u/oh-my-writing-skill@humanizer-cn","742","https://skills.sh/z0gsh1u/oh-my-writing-skill/humanizer-cn","humanizer; humanize","npx skills add z0gsh1u/oh-my-writing-skill@humanizer-cn","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
