"id","repo","url","accessible","stars","forks","fork_parent","license","pushed_at","note","skills_sh_entries","source_paths"
"1","op7418/Humanizer-zh","https://github.com/op7418/Humanizer-zh","true","16729","1113","","MIT","2026-01-19T07:46:35Z","简体中文基线；与 blader 原版同一规则谱系。","op7418/humanizer-zh@humanizer-zh (47.2K); https://skills.sh/op7418/humanizer-zh/humanizer-zh; npx skills add op7418/humanizer-zh@humanizer-zh","SKILL.md"
"2","blader/humanizer","https://github.com/blader/humanizer","true","43628","3653","","MIT","2026-08-19T05:58:53Z","英文基线；24 类模式与二次复扫。","blader/humanizer@humanizer (5.8K); https://skills.sh/blader/humanizer/humanizer; npx skills add blader/humanizer@humanizer","SKILL.md"
"3","hardikpandya/stop-slop","https://github.com/hardikpandya/stop-slop","true","16842","1216","","MIT","2026-03-17T18:50:39Z","英文删套话与句式约束；禁令较强。","hardikpandya/stop-slop@stop-slop (13.4K); https://skills.sh/hardikpandya/stop-slop/stop-slop; npx skills add hardikpandya/stop-slop@stop-slop","SKILL.md"
"4","petergyang/no-ai-slop","https://github.com/petergyang/no-ai-slop","true","7293","543","","MIT","2026-09-02T04:19:00Z","英文审稿与改写；保护个人声口。","petergyang/no-ai-slop@no-ai-slop (9.9K); https://skills.sh/petergyang/no-ai-slop/no-ai-slop; npx skills add petergyang/no-ai-slop@no-ai-slop","skills/no-ai-slop/SKILL.md"
"5","LifelongLazyLearner/qu-ai-wei","https://github.com/LifelongLazyLearner/qu-ai-wei","true","531","41","","MIT","2026-08-16T02:40:36Z","简体中文保真重写；信息账本、语体、引用边界。","lifelonglazylearner/qu-ai-wei@qu-ai-wei (625); https://skills.sh/lifelonglazylearner/qu-ai-wei/qu-ai-wei; npx skills add lifelonglazylearner/qu-ai-wei@qu-ai-wei","SKILL.md"
"6","MrGeDiao/shuorenhua","https://github.com/MrGeDiao/shuorenhua","true","1438","72","","MIT","2026-09-05T06:18:27Z","中文优先；技术文档、状态更新、论坛等场景。","mrgediao/shuorenhua@shuorenhua (975); https://skills.sh/mrgediao/shuorenhua/shuorenhua; npx skills add mrgediao/shuorenhua@shuorenhua","SKILL.md"
"7","B1lli/remove-ai-flavor-writing-skill","https://github.com/B1lli/remove-ai-flavor-writing-skill","false","","","","","","CLI 有收录，但 GitHub API 此次无法解析。","b1lli/remove-ai-flavor-writing-skill@remove-ai-flavor (86); https://skills.sh/b1lli/remove-ai-flavor-writing-skill/remove-ai-flavor; npx skills add b1lli/remove-ai-flavor-writing-skill@remove-ai-flavor",""
"8","yanyintingyou/stop-slop-cn-en","https://github.com/yanyintingyou/stop-slop-cn-en","true","1","0","","NOASSERTION","2026-05-29T10:35:58Z","中英文适配版，非原 stop-slop 独立谱系。","","SKILL.md"
"9","redbaronyyyyy-eng/humanizer-zh-academic","https://github.com/redbaronyyyyy-eng/humanizer-zh-academic","true","273","21","","MIT","2026-02-24T14:13:39Z","中文学术；降低检测率是作者声明，未验证。","redbaronyyyyy-eng/humanizer-zh-academic@humanizer-zh-academic (322); https://skills.sh/redbaronyyyyy-eng/humanizer-zh-academic/humanizer-zh-academic; npx skills add redbaronyyyyy-eng/humanizer-zh-academic@humanizer-zh-academic","SKILL.md"
"10","OUBIGFA/De-AI-Prompt-Enhancer-Writer-Booster-SKILL","https://github.com/OUBIGFA/De-AI-Prompt-Enhancer-Writer-Booster-SKILL","true","753","84","","","2026-09-05T15:26:01Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","",".backup/humanizer-zh/SKILL.md
.backup/humanizer/SKILL.md
de-AI-writing/SKILL.md"
